Time;channel_11;channel_12;channel_13;channel_14;channel_15;channel_16;channel_17;channel_18;channel_19;channel_20;channel_21;channel_22;channel_23;channel_24;channel_25;channel_26
2016-08-08T17:44:40.812Z;-95;-94;-83;-92;-99;-91;-96;-84;-87;-99;-98;-100;-100;-98;-101;-100
2016-08-08T17:44:43.460Z;-88;-76;-78;-95;-93;-90;-90;-97;-101;-102;-98;-96;-98;-100;-99;-98
2016-08-08T17:44:46.108Z;-95;-97;-91;-92;-93;-91;-95;-98;-99;-101;-100;-96;-97;-98;-99;-98
2016-08-08T17:44:48.757Z;-96;-95;-88;-94;-101;-97;-98;-98;-95;-99;-91;-98;-92;-99;-101;-100
2016-08-08T17:44:51.405Z;-91;-90;-82;-83;-97;-98;-92;-97;-100;-101;-94;-95;-96;-96;-99;-96
2016-08-08T17:44:54.053Z;-100;-91;-90;-92;-100;-90;-96;-81;-92;-101;-94;-98;-97;-94;-98;-97
2016-08-08T17:44:56.701Z;-98;-90;-89;-93;-93;-96;-99;-92;-98;-98;-98;-93;-98;-100;-101;-100
2016-08-08T17:44:59.349Z;-95;-91;-86;-95;-97;-93;-93;-86;-98;-98;-99;-93;-93;-100;-100;-98
2016-08-08T17:45:01.998Z;-95;-97;-94;-97;-96;-92;-88;-88;-86;-96;-101;-99;-99;-98;-101;-98
2016-08-08T17:45:04.646Z;-96;-86;-52;-80;-97;-96;-94;-97;-100;-99;-96;-99;-98;-100;-99;-93
2016-08-08T17:45:07.295Z;-97;-96;-87;-91;-94;-95;-92;-97;-99;-102;-97;-95;-97;-98;-100;-95
2016-08-08T17:45:09.943Z;-96;-93;-91;-88;-92;-88;-98;-80;-97;-100;-99;-95;-97;-101;-101;-101
2016-08-08T17:45:12.591Z;-98;-83;-90;-96;-96;-92;-93;-100;-95;-100;-97;-98;-98;-98;-101;-98
2016-08-08T17:45:15.240Z;-98;-92;-89;-101;-94;-96;-91;-99;-98;-101;-101;-94;-95;-96;-101;-97
2016-08-08T17:45:17.889Z;-98;-63;-58;-94;-96;-101;-99;-92;-95;-100;-96;-99;-95;-99;-100;-97
2016-08-08T17:45:20.536Z;-94;-85;-95;-93;-88;-93;-98;-97;-98;-102;-99;-97;-97;-100;-99;-99
2016-08-08T17:45:23.186Z;-91;-96;-85;-90;-96;-97;-78;-99;-99;-102;-101;-97;-93;-95;-100;-97
2016-08-08T17:45:25.834Z;-94;-91;-91;-93;-92;-95;-93;-99;-91;-99;-101;-96;-98;-98;-101;-98
2016-08-08T17:45:28.482Z;-97;-92;-88;-97;-95;-88;-92;-96;-100;-101;-101;-97;-98;-98;-101;-99
2016-08-08T17:45:31.131Z;-78;-84;-81;-87;-94;-90;-88;-88;-94;-102;-97;-97;-98;-100;-101;-101
2016-08-08T17:45:33.779Z;-96;-94;-93;-94;-92;-95;-99;-96;-98;-97;-98;-94;-99;-99;-101;-98
2016-08-08T17:45:36.428Z;-97;-82;-76;-98;-100;-93;-91;-95;-99;-102;-97;-94;-98;-100;-99;-98
2016-08-08T17:45:39.077Z;-96;-87;-91;-77;-92;-99;-94;-89;-96;-102;-97;-94;-95;-98;-100;-101
2016-08-08T17:45:41.725Z;-97;-90;-93;-91;-96;-100;-98;-97;-99;-99;-97;-88;-96;-100;-98;-100
2016-08-08T17:45:44.375Z;-97;-91;-89;-94;-89;-93;-91;-100;-100;-102;-100;-94;-96;-98;-100;-100
2016-08-08T17:45:47.023Z;-92;-91;-84;-95;-90;-85;-91;-94;-96;-101;-100;-99;-97;-98;-101;-98
2016-08-08T17:45:49.672Z;-96;-87;-94;-94;-97;-97;-99;-100;-101;-101;-98;-96;-99;-97;-101;-100
2016-08-08T17:45:52.320Z;-98;-90;-59;-81;-99;-97;-92;-92;-99;-102;-97;-96;-99;-101;-101;-99
2016-08-08T17:45:54.969Z;-89;-90;-76;-88;-93;-99;-99;-97;-97;-100;-98;-97;-96;-99;-97;-98
2016-08-08T17:45:57.617Z;-97;-84;-93;-94;-94;-98;-100;-98;-96;-100;-100;-93;-91;-99;-101;-99
2016-08-08T17:46:00.266Z;-95;-90;-95;-98;-100;-98;-90;-100;-100;-102;-94;-99;-95;-99;-100;-100
2016-08-08T17:46:02.915Z;-94;-96;-91;-96;-99;-95;-91;-99;-98;-101;-100;-100;-99;-99;-101;-101
2016-08-08T17:46:05.563Z;-97;-69;-59;-82;-99;-93;-92;-95;-96;-98;-98;-92;-96;-97;-101;-98
2016-08-08T17:46:08.212Z;-98;-91;-93;-97;-94;-73;-89;-97;-100;-101;-98;-94;-95;-101;-100;-95
2016-08-08T17:46:10.860Z;-93;-94;-93;-96;-95;-95;-99;-93;-81;-99;-91;-92;-89;-89;-99;-99
2016-08-08T17:46:13.509Z;-91;-90;-93;-93;-96;-90;-90;-97;-101;-102;-93;-94;-87;-89;-99;-98
2016-08-08T17:46:16.158Z;-92;-88;-97;-92;-100;-96;-94;-90;-89;-100;-94;-92;-87;-91;-101;-95
2016-08-08T17:46:18.807Z;-90;-52;-68;-93;-94;-101;-98;-94;-98;-101;-94;-92;-92;-95;-101;-94
2016-08-08T17:46:21.455Z;-97;-97;-85;-91;-94;-93;-93;-95;-90;-101;-92;-91;-92;-96;-100;-97
2016-08-08T17:46:24.103Z;-98;-89;-94;-97;-99;-99;-98;-87;-95;-101;-90;-94;-91;-97;-101;-101
2016-08-08T17:46:26.752Z;-97;-89;-97;-96;-94;-94;-91;-97;-99;-101;-98;-98;-96;-92;-100;-98
2016-08-08T17:46:29.401Z;-97;-91;-88;-91;-95;-93;-91;-94;-95;-101;-97;-99;-99;-99;-100;-98
2016-08-08T17:46:32.050Z;-83;-52;-82;-96;-96;-98;-92;-95;-92;-101;-97;-97;-99;-97;-101;-100
2016-08-08T17:46:34.698Z;-96;-90;-96;-87;-99;-88;-91;-101;-94;-100;-98;-94;-95;-92;-101;-99
2016-08-08T17:46:37.347Z;-90;-87;-94;-98;-98;-92;-81;-92;-98;-101;-94;-95;-93;-93;-99;-100
2016-08-08T17:46:39.995Z;-96;-88;-76;-91;-94;-101;-93;-88;-95;-100;-92;-90;-89;-90;-100;-96
2016-08-08T17:46:42.644Z;-91;-96;-83;-91;-89;-98;-100;-94;-95;-101;-83;-88;-99;-100;-100;-97
2016-08-08T17:46:45.293Z;-93;-61;-55;-93;-96;-91;-89;-97;-98;-101;-101;-94;-97;-98;-98;-99
2016-08-08T17:46:47.941Z;-95;-91;-85;-96;-100;-88;-99;-97;-99;-100;-101;-97;-96;-97;-100;-98
2016-08-08T17:46:50.590Z;-96;-92;-93;-94;-95;-94;-90;-97;-99;-101;-97;-97;-97;-98;-100;-100
2016-08-08T17:46:53.238Z;-96;-82;-77;-88;-97;-101;-87;-92;-94;-100;-94;-98;-98;-99;-100;-94
2016-08-08T17:46:55.887Z;-98;-90;-89;-94;-89;-90;-97;-92;-95;-98;-95;-90;-95;-100;-101;-98
2016-08-08T17:46:58.535Z;-97;-65;-49;-85;-95;-86;-90;-96;-96;-101;-93;-84;-87;-99;-101;-100
2016-08-08T17:47:01.184Z;-65;-95;-92;-94;-97;-98;-97;-94;-99;-102;-100;-97;-94;-96;-101;-94
2016-08-08T17:47:03.832Z;-63;-92;-79;-93;-98;-99;-94;-97;-98;-98;-98;-100;-94;-95;-101;-97
2016-08-08T17:47:06.481Z;-73;-98;-78;-85;-94;-91;-99;-98;-98;-98;-98;-96;-96;-98;-99;-97
2016-08-08T17:47:09.130Z;-65;-97;-87;-96;-89;-83;-93;-88;-97;-100;-97;-92;-97;-98;-99;-96
2016-08-08T17:47:11.779Z;-61;-58;-75;-90;-99;-92;-97;-83;-96;-101;-100;-96;-95;-100;-99;-96
2016-08-08T17:47:14.427Z;-65;-81;-75;-89;-94;-97;-79;-90;-96;-100;-100;-100;-95;-97;-101;-95
2016-08-08T17:47:17.077Z;-69;-83;-79;-92;-91;-93;-92;-97;-96;-100;-95;-99;-98;-99;-100;-98
2016-08-08T17:47:19.724Z;-65;-78;-87;-93;-90;-97;-99;-98;-99;-101;-95;-91;-97;-99;-101;-98
2016-08-08T17:47:22.373Z;-67;-80;-95;-91;-93;-97;-93;-96;-98;-99;-96;-99;-93;-100;-101;-95
2016-08-08T17:47:25.022Z;-63;-73;-56;-83;-93;-95;-99;-96;-98;-99;-101;-99;-96;-97;-100;-100
2016-08-08T17:47:27.670Z;-67;-83;-84;-92;-95;-91;-98;-98;-101;-102;-97;-95;-99;-100;-101;-101
2016-08-08T17:47:30.318Z;-71;-90;-86;-94;-91;-100;-91;-92;-97;-102;-97;-99;-93;-99;-101;-99
2016-08-08T17:47:32.967Z;-70;-74;-88;-87;-96;-96;-98;-98;-100;-99;-94;-97;-96;-98;-101;-99
2016-08-08T17:47:35.616Z;-75;-76;-78;-94;-99;-90;-96;-98;-98;-101;-97;-96;-98;-99;-101;-98
2016-08-08T17:47:38.265Z;-79;-84;-86;-97;-98;-95;-93;-94;-95;-100;-96;-98;-97;-97;-100;-101
2016-08-08T17:47:40.913Z;-65;-84;-82;-89;-96;-99;-92;-98;-101;-98;-99;-99;-100;-99;-100;-97
2016-08-08T17:47:43.562Z;-77;-82;-77;-95;-78;-89;-97;-96;-97;-102;-99;-96;-95;-99;-101;-100
2016-08-08T17:47:46.210Z;-66;-88;-95;-90;-96;-95;-96;-91;-98;-99;-99;-95;-96;-98;-100;-99
2016-08-08T17:47:48.859Z;-69;-80;-84;-89;-98;-98;-96;-99;-96;-98;-98;-97;-98;-96;-101;-99
2016-08-08T17:47:51.507Z;-75;-53;-67;-79;-100;-98;-85;-98;-99;-101;-97;-98;-98;-99;-100;-99
2016-08-08T17:47:54.156Z;-80;-72;-69;-85;-84;-96;-91;-89;-91;-100;-96;-99;-97;-99;-101;-98
2016-08-08T17:47:56.804Z;-62;-83;-88;-97;-93;-95;-98;-93;-92;-95;-97;-95;-95;-96;-99;-100
2016-08-08T17:47:59.453Z;-65;-90;-78;-85;-97;-98;-88;-93;-94;-97;-99;-96;-92;-97;-99;-96
2016-08-08T17:48:02.101Z;-67;-95;-74;-88;-90;-99;-90;-96;-93;-101;-99;-98;-96;-93;-101;-96
2016-08-08T17:48:04.750Z;-64;-78;-72;-87;-89;-95;-83;-90;-101;-99;-89;-86;-95;-100;-99;-100
2016-08-08T17:48:07.398Z;-63;-84;-93;-98;-91;-98;-88;-95;-97;-98;-98;-97;-97;-99;-101;-98
2016-08-08T17:48:10.047Z;-62;-75;-68;-88;-95;-93;-99;-93;-95;-98;-99;-98;-90;-98;-100;-99
2016-08-08T17:48:12.696Z;-64;-72;-66;-93;-96;-91;-91;-99;-99;-101;-96;-94;-99;-98;-99;-96
2016-08-08T17:48:15.345Z;-65;-82;-80;-89;-97;-101;-87;-90;-98;-96;-91;-93;-98;-99;-100;-96
2016-08-08T17:48:17.994Z;-62;-71;-66;-83;-90;-99;-90;-86;-94;-99;-97;-98;-99;-99;-100;-98
2016-08-08T17:48:20.641Z;-66;-78;-81;-92;-92;-78;-97;-95;-98;-100;-99;-94;-97;-101;-101;-98
