"Part";"Value";"Device";"Package";"Description";"AMAZON";"DIGIKEY";"MOUSER";"NEWARK";
"R21";"100kΩ";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"1276-3432-1-ND";"";"";
"R22";"332kΩ";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"1276-4245-1-ND";"";"";
"R23";"665kΩ";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"1276-4275-1-ND";"";"";
"R24";"1MΩ";"RESISTOR0402_RES";"0402_RES";"Resistor";"";"1276-3433-1-ND";"";"";
"SJ1";"";"SOLDERJUMPER_2WAYPASTE2&3";"SJ_3_PASTE2&3";"Solder Jumper";"";"";"";"";
"SJ2";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";
"SW1";"PTS810SJ";"PTS810SJ";"PTS810SJ";"PTS810SJ Push Button Switch";"";"CKN10504CT-ND";"";"";
"SW2";"SIP3240X";"SIP3240X";"TDFN4";"High power (2.4 A) high-side switch";"";"SIP32402ADNP-T1GE4CT-ND";"";"";
"U1";"SAM4LC8AA";"SAM4LC8AA";"QFN-48-7MM";"Atmel SAM4L microcontroller. ARM Cortex M4 with 512 KB Flash and 64 KB RAM";"";"ATSAM4LC8AA-MU-ND";"";"";
"U2";"SAM4LC8AA";"SAM4LC8AA";"QFN-48-7MM";"Atmel SAM4L microcontroller. ARM Cortex M4 with 512 KB Flash and 64 KB RAM";"";"ATSAM4LC8AA-MU-ND";"";"";
"U3";"RXM-GPS-RM-T";"RXM-GPS-RM-T";"RXM-GPS-RM-T";"The RM Series GPS receiver module is a";"";"RXM-GPS-RM-TCT-ND";"";"";
"U4";"FM25CLXXB-DG";"FM25CLXXB-DG";"TDFN-8";"Cypress FRAM";"";"FM25CL64B-DGRA-ND";"";"";
"U5";"TS3USB30E";"TS3USB30E";"UQFN-10";"USB Mux with OE control and ESD";"";"296-24684-1-ND";"";"";
"U7";"FTDI234XD";"FTDI234XD";"DFN-12/3MM";"FTDI234XD USB to UART Bridge in 3x3 DFN Package";"";"768-1178-1-ND";"895-FT234XD-R";"53X3171";
"U8";"TXS0108EVQFN20";"TXS0108EVQFN20";"R-PVQFN-N20";"TXS0108E 8-Bit Bi-directional Voltage Translator";"";"296-24806-1-ND";"";"";
"VR1";"TPS62086";"TPS62086";"RLT0007A";"Buck Switching Regulator IC Positive Fixed 3.3V 1 Output 3A 7-VFDFN";"";"296-40831-1-ND";"";"";
"X1";"16MHz";"FH1600015";"FHXXX";"Pericom Type FH 16 MHz 2.5 x 2.0 mm";"";"FH1600015CT-ND";"";"";
"X2";"16MHz";"FH1600015";"FHXXX";"Pericom Type FH 16 MHz 2.5 x 2.0 mm";"";"FH1600015CT-ND";"";"";
